Episode,Total Reward
1,0.7
2,0.4
3,0.2
4,0.8
5,0.4
6,0.4
7,0.0
8,0.6
9,0.9
10,0.9
11,0.2
12,0.2
13,0.8
14,0.1
15,0.9
16,0.7
17,0.9
18,0.9
19,0.6
20,0.7
21,0.5
22,-1.4
23,0.9
24,0.2
25,0.2
26,-0.7
27,0.8
28,0.5
29,0.6
30,0.5
31,0.8
32,0.2
33,0.9
34,0.8
35,0.5
36,0.9
37,0.9
38,0.6
39,-0.2
40,0.9
41,0.8
42,0.9
43,0.3
44,0.8
45,0.9
46,0.9
47,-0.6
48,-0.3
49,-0.5
50,0.6
51,0.1
52,0.8
53,0.6
54,-0.4
55,0.6
56,0.9
57,0.2
58,0.3
59,0.4
60,0.9
61,0.7
62,0.9
63,0.6
64,0.9
65,0.2
66,0.1
67,0.9
68,0.9
69,0.4
70,0.7
71,0.0
72,-0.4
73,0.9
74,0.9
75,0.9
76,0.8
77,0.3
78,0.9
79,0.7
80,0.9
81,0.7
82,0.8
83,0.8
84,0.9
85,0.7
86,0.3
87,0.9
88,0.8
89,0.5
90,0.6
91,0.2
92,0.7
93,-0.1
94,0.9
95,-1.0
96,0.9
97,0.7
98,0.3
99,0.7
100,0.4
Evaluation,Final Reward
,-1.5
