Episode,Total Reward,Eval Avg Reward
1,-2.3000000000000016,-2.480000000000013
2,-2.3000000000000016,-2.480000000000013
3,-2.3000000000000016,-2.480000000000013
4,-2.4000000000000017,-2.480000000000013
5,-2.700000000000002,-2.480000000000013
6,-2.4000000000000017,-2.480000000000013
7,-2.3000000000000016,-2.480000000000013
8,-2.2000000000000015,-2.480000000000013
9,-2.800000000000002,-2.480000000000013
10,-2.4000000000000017,-2.480000000000013
11,-2.3000000000000016,-2.480000000000013
12,-2.1000000000000014,-2.480000000000013
13,-2.3000000000000016,-2.480000000000013
14,-2.600000000000002,-2.480000000000013
15,-2.1000000000000014,-2.480000000000013
16,-2.2000000000000015,-2.480000000000013
17,-2.5000000000000018,-2.480000000000013
18,-2.1000000000000014,-2.480000000000013
19,-2.2000000000000015,-2.480000000000013
20,-2.2000000000000015,-2.480000000000013
21,-2.2000000000000015,-2.480000000000013
22,-2.3000000000000016,-2.480000000000013
23,-2.5000000000000018,-2.480000000000013
24,-2.2000000000000015,-2.480000000000013
25,-2.2000000000000015,-2.480000000000013
26,-2.3000000000000016,-2.480000000000013
27,-2.4000000000000017,-2.480000000000013
28,-2.600000000000002,-2.480000000000013
29,-2.3000000000000016,-2.480000000000013
30,-3.1000000000000014,-2.480000000000013
31,-2.2000000000000015,-2.480000000000013
32,-2.5000000000000018,-2.480000000000013
33,-2.5000000000000018,-2.480000000000013
34,-2.4000000000000017,-2.480000000000013
35,-2.1000000000000014,-2.480000000000013
36,-2.4000000000000017,-2.480000000000013
37,-2.600000000000002,-2.480000000000013
38,-2.700000000000002,-2.480000000000013
39,-2.5000000000000018,-2.480000000000013
40,-2.5000000000000018,-2.480000000000013
41,-3.1000000000000014,-2.480000000000013
42,-2.2000000000000015,-2.480000000000013
43,-2.4000000000000017,-2.480000000000013
44,-2.1000000000000014,-2.480000000000013
45,-2.3000000000000016,-2.480000000000013
46,-2.3000000000000016,-2.480000000000013
47,-2.600000000000002,-2.480000000000013
48,-2.800000000000002,-2.480000000000013
49,-2.4000000000000017,-2.480000000000013
50,-2.4000000000000017,-2.480000000000013
51,-2.800000000000002,-2.480000000000013
52,-2.4000000000000017,-2.480000000000013
53,-2.2000000000000015,-2.480000000000013
54,-3.4000000000000004,-2.480000000000013
55,-2.1000000000000014,-2.480000000000013
56,-2.700000000000002,-2.480000000000013
57,-2.600000000000002,-2.480000000000013
58,-2.600000000000002,-2.480000000000013
59,-2.4000000000000017,-2.480000000000013
60,-2.900000000000002,-2.480000000000013
61,-2.2000000000000015,-2.480000000000013
62,-2.2000000000000015,-2.480000000000013
63,-2.3000000000000016,-2.480000000000013
64,-2.3000000000000016,-2.480000000000013
65,-2.800000000000002,-2.480000000000013
66,-2.4000000000000017,-2.480000000000013
67,-2.3000000000000016,-2.480000000000013
68,-2.800000000000002,-2.480000000000013
69,-2.3000000000000016,-2.480000000000013
70,-2.600000000000002,-2.480000000000013
71,-2.600000000000002,-2.480000000000013
72,-2.3000000000000016,-2.480000000000013
73,-2.5000000000000018,-2.480000000000013
74,-2.1000000000000014,-2.480000000000013
75,-2.4000000000000017,-2.480000000000013
76,-2.600000000000002,-2.480000000000013
77,-2.5000000000000018,-2.480000000000013
78,-2.4000000000000017,-2.480000000000013
79,-2.1000000000000014,-2.480000000000013
80,-2.3000000000000016,-2.480000000000013
81,-2.3000000000000016,-2.480000000000013
82,-2.3000000000000016,-2.480000000000013
83,-2.5000000000000018,-2.480000000000013
84,-2.4000000000000017,-2.480000000000013
85,-2.5000000000000018,-2.480000000000013
86,-2.800000000000002,-2.480000000000013
87,-2.4000000000000017,-2.480000000000013
88,-2.2000000000000015,-2.480000000000013
89,-2.3000000000000016,-2.480000000000013
90,-2.600000000000002,-2.480000000000013
91,-2.600000000000002,-2.480000000000013
92,-2.4000000000000017,-2.480000000000013
93,-2.5000000000000018,-2.480000000000013
94,-2.900000000000002,-2.480000000000013
95,-2.900000000000002,-2.480000000000013
96,-2.700000000000002,-2.480000000000013
97,-2.5000000000000018,-2.480000000000013
98,-2.3000000000000016,-2.480000000000013
99,-3.1000000000000014,-2.480000000000013
100,-3.1000000000000014,-2.480000000000013
101,-2.1000000000000014,-2.480000000000013
102,-2.4000000000000017,-2.480000000000013
103,-2.4000000000000017,-2.480000000000013
104,-2.1000000000000014,-2.480000000000013
105,-2.3000000000000016,-2.480000000000013
106,-2.4000000000000017,-2.480000000000013
107,-2.3000000000000016,-2.480000000000013
108,-2.900000000000002,-2.480000000000013
109,-2.3000000000000016,-2.480000000000013
110,-2.5000000000000018,-2.480000000000013
