episode,total_reward,steps,termination
0,-25,25,max_steps
1,-3,14,goal
2,-25,25,max_steps
3,-25,25,max_steps
4,-25,25,max_steps
5,-25,25,max_steps
6,-25,25,max_steps
7,-25,25,max_steps
8,-10,21,goal
9,-3,14,goal
10,-25,25,max_steps
11,-12,23,goal
12,-25,25,max_steps
13,-14,25,goal
14,0,11,goal
15,-13,24,goal
16,0,11,goal
17,-25,25,max_steps
18,-3,14,goal
19,-10,21,goal
20,-7,18,goal
21,2,9,goal
22,-25,25,max_steps
23,-1,12,goal
24,-25,25,max_steps
25,0,11,goal
26,-3,14,goal
27,-5,16,goal
28,0,11,goal
29,2,9,goal
