episode,total_reward,steps,termination
0,2,9,goal
1,-35,35,max_steps
2,-35,35,max_steps
3,-2,13,goal
4,-12,23,goal
5,-5,16,goal
6,-12,23,goal
7,-9,20,goal
8,-5,16,goal
9,-4,15,goal
10,-7,18,goal
11,-5,16,goal
12,1,10,goal
13,-7,18,goal
14,1,10,goal
15,-5,16,goal
16,1,10,goal
17,-1,12,goal
18,0,11,goal
19,1,10,goal
20,-1,12,goal
21,2,9,goal
22,2,9,goal
23,1,10,goal
24,-3,14,goal
25,2,9,goal
26,2,9,goal
27,1,10,goal
28,2,9,goal
29,2,9,goal
30,2,9,goal
31,-1,12,goal
32,2,9,goal
33,2,9,goal
34,1,10,goal
35,2,9,goal
36,2,9,goal
37,2,9,goal
38,2,9,goal
39,2,9,goal
40,2,9,goal
41,2,9,goal
42,2,9,goal
43,2,9,goal
44,2,9,goal
45,2,9,goal
46,2,9,goal
47,2,9,goal
48,2,9,goal
49,2,9,goal
50,2,9,goal
51,2,9,goal
52,2,9,goal
53,2,9,goal
54,2,9,goal
55,2,9,goal
56,2,9,goal
57,2,9,goal
58,2,9,goal
59,2,9,goal
60,2,9,goal
61,2,9,goal
62,2,9,goal
63,2,9,goal
64,2,9,goal
65,2,9,goal
66,2,9,goal
67,2,9,goal
68,2,9,goal
69,2,9,goal
70,2,9,goal
71,2,9,goal
72,2,9,goal
73,2,9,goal
74,2,9,goal
75,2,9,goal
76,2,9,goal
77,2,9,goal
78,2,9,goal
79,2,9,goal
80,2,9,goal
81,2,9,goal
82,2,9,goal
83,2,9,goal
84,2,9,goal
85,2,9,goal
86,2,9,goal
87,2,9,goal
88,2,9,goal
89,2,9,goal
90,2,9,goal
91,2,9,goal
92,2,9,goal
93,2,9,goal
94,2,9,goal
95,2,9,goal
96,2,9,goal
97,2,9,goal
98,2,9,goal
99,2,9,goal
100,2,9,goal
101,2,9,goal
102,2,9,goal
103,2,9,goal
104,2,9,goal
105,2,9,goal
106,2,9,goal
107,2,9,goal
108,2,9,goal
109,2,9,goal
