episode,total_reward,steps,termination
1,-70,35,max_steps
2,-50,31,goal
3,-10,11,goal
4,-6,9,goal
5,-24,18,goal
6,-14,13,goal
7,-14,13,goal
8,-70,35,max_steps
9,-24,18,goal
10,-12,12,goal
11,-26,19,goal
12,-14,13,goal
13,-22,17,goal
14,-10,11,goal
15,-14,13,goal
16,-46,29,goal
17,-30,21,goal
18,-12,12,goal
19,-30,21,goal
20,-18,15,goal
21,-38,25,goal
22,-14,13,goal
23,-70,35,max_steps
24,-6,9,goal
25,-70,35,max_steps
26,-70,35,max_steps
27,-36,24,goal
28,-22,17,goal
29,-10,11,goal
30,-6,9,goal
31,-22,17,goal
32,-26,19,goal
33,-70,35,max_steps
34,-34,23,goal
35,-38,25,goal
36,-18,15,goal
37,-26,19,goal
38,-10,11,goal
39,-6,9,goal
40,-10,11,goal
41,-26,19,goal
42,-10,11,goal
43,-6,9,goal
44,-14,13,goal
45,-10,11,goal
46,-8,10,goal
47,-6,9,goal
48,-14,13,goal
49,-16,14,goal
50,-46,29,goal
51,-10,11,goal
52,-6,9,goal
53,-22,17,goal
54,-14,13,goal
55,-10,11,goal
56,-42,27,goal
57,-32,22,goal
58,-70,35,max_steps
59,-16,14,goal
60,-20,16,goal
61,-6,9,goal
62,-18,15,goal
63,-6,9,goal
64,-10,11,goal
65,-14,13,goal
66,-16,14,goal
67,-12,12,goal
68,-34,23,goal
69,-22,17,goal
70,-16,14,goal
71,-18,15,goal
72,-34,23,goal
73,-6,9,goal
74,-28,20,goal
75,-14,13,goal
76,-6,9,goal
77,-70,35,max_steps
78,-24,18,goal
79,-70,35,max_steps
80,-70,35,max_steps
81,-30,21,goal
82,-40,26,goal
83,-46,29,goal
84,-18,15,goal
85,-22,17,goal
86,-16,14,goal
87,-30,21,goal
88,-14,13,goal
89,-34,23,goal
90,-14,13,goal
91,-22,17,goal
92,-42,27,goal
93,-10,11,goal
94,-22,17,goal
95,-34,23,goal
96,-6,9,goal
97,-12,12,goal
98,-70,35,max_steps
99,-48,30,goal
100,-18,15,goal
101,-10,11,goal
102,-10,11,goal
103,-38,25,goal
104,-70,35,max_steps
105,-70,35,max_steps
106,-28,20,goal
107,-42,27,goal
108,-70,35,max_steps
109,-22,17,goal
110,-24,18,goal
111,-22,17,goal
112,-10,11,goal
113,-14,13,goal
114,-14,13,goal
115,-20,16,goal
116,-46,29,goal
117,-50,31,goal
118,-26,19,goal
119,-14,13,goal
120,-70,35,max_steps
