episode,total_reward,steps,termination
1,-18.0,39,goal
2,-45.0,45,max_steps
3,-18.0,39,goal
4,-45.0,45,max_steps
5,-45.0,45,max_steps
6,-9.0,30,goal
7,-45.0,45,max_steps
8,-15.0,36,goal
9,-45.0,45,max_steps
10,-45.0,45,max_steps
11,-13.0,34,goal
12,-45.0,45,max_steps
13,-45.0,45,max_steps
14,-13.0,34,goal
15,-45.0,45,max_steps
16,-45.0,45,max_steps
17,-19.0,40,goal
18,-45.0,45,max_steps
19,-16.0,37,goal
20,-17.0,38,goal
21,-2.0,23,goal
22,-45.0,45,max_steps
23,-2.0,23,goal
24,10.0,11,goal
25,-8.0,29,goal
26,-45.0,45,max_steps
27,-45.0,45,max_steps
28,-15.0,36,goal
29,-10.0,31,goal
30,3.0,18,goal
31,-45.0,45,max_steps
32,-11.0,32,goal
33,-8.0,29,goal
34,-45.0,45,max_steps
35,-5.0,26,goal
36,-45.0,45,max_steps
37,-45.0,45,max_steps
38,-45.0,45,max_steps
39,-15.0,36,goal
40,-22.0,43,goal
41,-13.0,34,goal
42,0.0,21,goal
43,-13.0,34,goal
44,6.0,15,goal
45,-45.0,45,max_steps
46,-45.0,45,max_steps
47,8.0,13,goal
48,-45.0,45,max_steps
49,-23.0,44,goal
50,2.0,19,goal
51,-8.0,29,goal
52,-45.0,45,max_steps
53,-17.0,38,goal
54,-45.0,45,max_steps
55,-4.0,25,goal
56,7.0,14,goal
57,2.0,19,goal
58,-4.0,25,goal
59,-5.0,26,goal
60,-2.0,23,goal
61,-45.0,45,max_steps
62,-21.0,42,goal
63,-45.0,45,max_steps
64,-17.0,38,goal
65,4.0,17,goal
66,8.0,13,goal
67,-45.0,45,max_steps
68,-13.0,34,goal
69,-13.0,34,goal
70,-8.0,29,goal
71,-15.0,36,goal
72,-2.0,23,goal
73,-45.0,45,max_steps
74,-24.0,45,goal
75,6.0,15,goal
76,-15.0,36,goal
77,-14.0,35,goal
78,-23.0,44,goal
79,-6.0,27,goal
80,-45.0,45,max_steps
81,-45.0,45,max_steps
82,6.0,15,goal
83,-5.0,26,goal
84,8.0,13,goal
85,-5.0,26,goal
86,5.0,16,goal
87,0.0,21,goal
88,-45.0,45,max_steps
89,-45.0,45,max_steps
90,12.0,9,goal
91,10.0,11,goal
92,8.0,13,goal
93,3.0,18,goal
94,-45.0,45,max_steps
95,-18.0,39,goal
96,-6.0,27,goal
97,1.0,20,goal
98,2.0,19,goal
99,-8.0,29,goal
100,-5.0,26,goal
101,-45.0,45,max_steps
102,3.0,18,goal
103,-45.0,45,max_steps
104,-7.0,28,goal
105,0.0,21,goal
106,-9.0,30,goal
107,-5.0,26,goal
108,-4.0,25,goal
109,8.0,13,goal
110,3.0,18,goal
111,8.0,13,goal
112,6.0,15,goal
113,-7.0,28,goal
114,4.0,17,goal
115,-9.0,30,goal
116,-1.0,22,goal
117,-6.0,27,goal
118,11.0,10,goal
119,1.0,20,goal
120,5.0,16,goal
121,5.0,16,goal
122,2.0,19,goal
123,-11.0,32,goal
124,-2.0,23,goal
125,10.0,11,goal
126,9.0,12,goal
127,-2.0,23,goal
128,-45.0,45,max_steps
129,6.0,15,goal
130,-1.0,22,goal
131,8.0,13,goal
132,-9.0,30,goal
133,9.0,12,goal
134,-5.0,26,goal
135,-45.0,45,max_steps
136,12.0,9,goal
137,-5.0,26,goal
138,3.0,18,goal
139,6.0,15,goal
140,-3.0,24,goal
141,0.0,21,goal
142,7.0,14,goal
143,8.0,13,goal
144,-5.0,26,goal
145,-16.0,37,goal
146,10.0,11,goal
147,6.0,15,goal
148,-1.0,22,goal
149,-14.0,35,goal
150,9.0,12,goal
151,12.0,9,goal
152,12.0,9,goal
153,12.0,9,goal
154,12.0,9,goal
155,12.0,9,goal
156,12.0,9,goal
157,12.0,9,goal
158,12.0,9,goal
159,12.0,9,goal
160,12.0,9,goal
