episode,total_reward,steps,termination
1,-70,70,False
2,-70,70,False
3,-70,70,False
4,-17,33,True
5,-70,70,False
6,-11,27,True
7,-70,70,False
8,-33,49,True
9,-14,30,True
10,-70,70,False
11,-33,49,True
12,-70,70,False
13,-7,23,True
14,-39,55,True
15,-14,30,True
16,-4,20,True
17,-4,20,True
18,-7,23,True
19,-6,22,True
20,-27,43,True
21,2,14,True
22,-12,28,True
23,-11,27,True
24,-10,26,True
25,-32,48,True
26,-11,27,True
27,-14,30,True
28,-1,17,True
29,-17,33,True
30,-17,33,True
31,-10,26,True
32,1,15,True
33,-7,23,True
34,-2,18,True
35,-1,17,True
36,2,14,True
37,-15,31,True
38,2,14,True
39,-2,18,True
40,-2,18,True
41,-4,20,True
42,-5,21,True
43,0,16,True
44,-3,19,True
45,0,16,True
46,0,16,True
47,-4,20,True
48,-1,17,True
49,-2,18,True
50,-3,19,True
51,2,14,True
52,2,14,True
53,1,15,True
54,0,16,True
55,2,14,True
56,0,16,True
57,0,16,True
58,0,16,True
59,-1,17,True
60,2,14,True
61,2,14,True
62,0,16,True
63,2,14,True
64,2,14,True
65,2,14,True
66,2,14,True
67,2,14,True
68,1,15,True
69,2,14,True
70,2,14,True
71,2,14,True
72,2,14,True
73,2,14,True
74,2,14,True
75,1,15,True
76,1,15,True
77,2,14,True
78,2,14,True
79,0,16,True
80,2,14,True
81,2,14,True
82,2,14,True
83,2,14,True
84,2,14,True
85,1,15,True
86,2,14,True
87,2,14,True
88,0,16,True
89,2,14,True
90,2,14,True
91,2,14,True
92,2,14,True
93,2,14,True
94,2,14,True
95,2,14,True
96,2,14,True
97,2,14,True
98,2,14,True
99,2,14,True
100,2,14,True
101,2,14,True
102,2,14,True
103,2,14,True
104,2,14,True
105,2,14,True
106,2,14,True
107,2,14,True
108,2,14,True
109,2,14,True
110,2,14,True
111,2,14,True
112,2,14,True
113,2,14,True
114,2,14,True
115,2,14,True
116,2,14,True
117,2,14,True
118,2,14,True
119,2,14,True
120,2,14,True
121,2,14,True
122,2,14,True
123,2,14,True
124,2,14,True
125,2,14,True
126,2,14,True
127,2,14,True
128,2,14,True
129,2,14,True
130,2,14,True
131,2,14,True
132,2,14,True
133,2,14,True
134,2,14,True
135,2,14,True
136,2,14,True
137,2,14,True
138,2,14,True
139,2,14,True
140,2,14,True
141,2,14,True
142,2,14,True
143,2,14,True
144,2,14,True
145,2,14,True
146,2,14,True
147,2,14,True
148,2,14,True
149,2,14,True
150,2,14,True
151,2,14,True
152,2,14,True
153,2,14,True
154,2,14,True
155,2,14,True
156,2,14,True
157,2,14,True
158,2,14,True
159,2,14,True
160,2,14,True
161,2,14,True
162,2,14,True
163,2,14,True
164,2,14,True
165,2,14,True
166,2,14,True
167,2,14,True
168,2,14,True
169,2,14,True
170,2,14,True
171,2,14,True
172,2,14,True
173,2,14,True
174,2,14,True
175,2,14,True
176,2,14,True
177,2,14,True
178,2,14,True
179,2,14,True
180,2,14,True
181,2,14,True
182,2,14,True
183,2,14,True
184,2,14,True
185,2,14,True
186,2,14,True
187,2,14,True
188,2,14,True
189,2,14,True
190,2,14,True
191,2,14,True
192,2,14,True
193,2,14,True
194,2,14,True
195,2,14,True
196,2,14,True
197,2,14,True
198,2,14,True
199,2,14,True
200,2,14,True
201,2,14,True
202,2,14,True
203,2,14,True
204,2,14,True
205,2,14,True
206,2,14,True
207,2,14,True
208,2,14,True
209,2,14,True
210,2,14,True
211,2,14,True
212,2,14,True
213,2,14,True
214,2,14,True
215,2,14,True
216,2,14,True
217,2,14,True
218,2,14,True
219,2,14,True
220,2,14,True
221,2,14,True
222,2,14,True
223,2,14,True
224,2,14,True
225,2,14,True
226,2,14,True
227,2,14,True
228,2,14,True
229,2,14,True
230,2,14,True
231,2,14,True
232,2,14,True
233,2,14,True
234,2,14,True
235,2,14,True
236,2,14,True
237,2,14,True
238,2,14,True
239,2,14,True
240,2,14,True
241,2,14,True
242,2,14,True
243,2,14,True
244,2,14,True
245,2,14,True
246,2,14,True
247,2,14,True
248,2,14,True
249,2,14,True
250,2,14,True
251,2,14,True
252,2,14,True
253,2,14,True
254,2,14,True
255,2,14,True
256,2,14,True
257,2,14,True
258,2,14,True
259,2,14,True
260,2,14,True
261,2,14,True
262,2,14,True
263,2,14,True
264,2,14,True
265,2,14,True
266,2,14,True
267,2,14,True
268,2,14,True
269,2,14,True
270,2,14,True
271,2,14,True
272,2,14,True
273,2,14,True
274,2,14,True
275,2,14,True
276,2,14,True
277,2,14,True
278,2,14,True
279,2,14,True
280,2,14,True
281,2,14,True
282,2,14,True
283,2,14,True
284,2,14,True
285,2,14,True
286,2,14,True
287,2,14,True
288,2,14,True
289,2,14,True
290,2,14,True
291,2,14,True
292,2,14,True
293,2,14,True
294,2,14,True
295,2,14,True
296,2,14,True
297,2,14,True
298,2,14,True
299,2,14,True
300,2,14,True
301,2,14,True
302,2,14,True
303,2,14,True
304,2,14,True
305,2,14,True
306,2,14,True
307,2,14,True
308,2,14,True
309,2,14,True
310,2,14,True
311,2,14,True
312,2,14,True
313,2,14,True
314,2,14,True
315,2,14,True
316,2,14,True
317,2,14,True
318,2,14,True
319,2,14,True
320,2,14,True
321,2,14,True
322,2,14,True
323,2,14,True
324,2,14,True
325,2,14,True
326,2,14,True
327,2,14,True
328,2,14,True
329,2,14,True
330,2,14,True
331,2,14,True
332,2,14,True
333,2,14,True
334,2,14,True
335,2,14,True
336,2,14,True
337,2,14,True
338,2,14,True
339,2,14,True
340,2,14,True
341,2,14,True
342,2,14,True
343,2,14,True
344,2,14,True
345,2,14,True
346,2,14,True
347,2,14,True
348,2,14,True
349,2,14,True
350,2,14,True
351,2,14,True
352,2,14,True
353,2,14,True
354,2,14,True
355,2,14,True
356,2,14,True
357,2,14,True
358,2,14,True
359,2,14,True
360,2,14,True
361,2,14,True
362,2,14,True
363,2,14,True
364,2,14,True
365,2,14,True
366,2,14,True
367,2,14,True
368,2,14,True
369,2,14,True
370,2,14,True
371,2,14,True
372,2,14,True
373,2,14,True
374,2,14,True
375,2,14,True
376,2,14,True
377,2,14,True
378,2,14,True
379,2,14,True
380,2,14,True
381,2,14,True
382,2,14,True
383,2,14,True
384,2,14,True
385,2,14,True
386,2,14,True
387,2,14,True
388,2,14,True
389,2,14,True
390,2,14,True
391,2,14,True
392,2,14,True
393,2,14,True
394,2,14,True
395,2,14,True
396,2,14,True
397,2,14,True
398,2,14,True
399,2,14,True
400,2,14,True
401,2,14,True
402,2,14,True
403,2,14,True
404,2,14,True
405,2,14,True
406,2,14,True
407,2,14,True
408,2,14,True
409,2,14,True
410,2,14,True
411,2,14,True
412,2,14,True
413,2,14,True
414,2,14,True
415,2,14,True
416,2,14,True
417,2,14,True
418,2,14,True
419,2,14,True
420,2,14,True
421,2,14,True
422,2,14,True
423,2,14,True
424,2,14,True
425,2,14,True
426,2,14,True
427,2,14,True
428,2,14,True
429,2,14,True
430,2,14,True
431,2,14,True
432,2,14,True
433,2,14,True
434,2,14,True
435,2,14,True
436,2,14,True
437,2,14,True
438,2,14,True
439,2,14,True
440,2,14,True
441,2,14,True
442,2,14,True
443,2,14,True
444,2,14,True
445,2,14,True
446,2,14,True
447,2,14,True
448,2,14,True
449,2,14,True
450,2,14,True
451,2,14,True
452,2,14,True
453,2,14,True
454,2,14,True
455,2,14,True
456,2,14,True
457,2,14,True
458,2,14,True
459,2,14,True
460,2,14,True
461,2,14,True
462,2,14,True
463,2,14,True
464,2,14,True
465,2,14,True
466,2,14,True
467,2,14,True
468,2,14,True
469,2,14,True
470,2,14,True
471,2,14,True
472,2,14,True
473,2,14,True
474,2,14,True
475,2,14,True
476,2,14,True
477,2,14,True
478,2,14,True
479,2,14,True
480,2,14,True
481,2,14,True
482,2,14,True
483,2,14,True
484,2,14,True
485,2,14,True
486,2,14,True
487,2,14,True
488,2,14,True
489,2,14,True
490,2,14,True
491,2,14,True
492,2,14,True
493,2,14,True
494,2,14,True
495,2,14,True
496,2,14,True
497,2,14,True
498,2,14,True
499,2,14,True
500,2,14,True
