episode,total_reward,steps,termination
1,-28,39,goal
2,-40,40,timeout
3,-40,40,timeout
4,-40,40,timeout
5,-40,40,timeout
6,-18,29,goal
7,-40,40,timeout
8,-25,36,goal
9,-9,20,goal
10,-29,40,goal
11,-24,35,goal
12,-40,40,timeout
13,2,9,goal
14,-20,31,goal
15,-26,37,goal
16,-15,26,goal
17,-7,18,goal
18,0,11,goal
19,-6,17,goal
20,-9,20,goal
21,-40,40,timeout
22,-14,25,goal
23,-14,25,goal
24,-6,17,goal
25,-10,21,goal
26,0,11,goal
27,2,9,goal
28,-4,15,goal
29,-4,15,goal
30,0,11,goal
31,0,11,goal
32,-4,15,goal
33,0,11,goal
34,0,11,goal
35,-2,13,goal
36,-3,14,goal
37,-6,17,goal
38,-2,13,goal
39,0,11,goal
40,2,9,goal
41,-4,15,goal
42,-2,13,goal
43,0,11,goal
44,-8,19,goal
45,-7,18,goal
46,-4,15,goal
47,-25,36,goal
48,-1,12,goal
49,-4,15,goal
50,2,9,goal
51,-9,20,goal
52,2,9,goal
53,1,10,goal
54,-8,19,goal
55,-4,15,goal
56,-10,21,goal
57,-8,19,goal
58,-4,15,goal
59,0,11,goal
60,2,9,goal
61,-8,19,goal
62,-4,15,goal
63,2,9,goal
64,-2,13,goal
65,0,11,goal
66,2,9,goal
67,-8,19,goal
68,2,9,goal
69,2,9,goal
70,2,9,goal
71,-1,12,goal
72,-4,15,goal
73,-8,19,goal
74,-3,14,goal
75,-2,13,goal
76,-2,13,goal
77,-4,15,goal
78,0,11,goal
79,2,9,goal
80,-2,13,goal
81,-1,12,goal
82,-2,13,goal
83,0,11,goal
84,0,11,goal
85,-2,13,goal
86,0,11,goal
87,-2,13,goal
88,2,9,goal
89,1,10,goal
90,2,9,goal
91,-2,13,goal
92,2,9,goal
93,-1,12,goal
94,0,11,goal
95,2,9,goal
96,-2,13,goal
97,2,9,goal
98,0,11,goal
99,0,11,goal
100,2,9,goal
101,2,9,goal
102,0,11,goal
103,-2,13,goal
104,0,11,goal
105,2,9,goal
106,2,9,goal
107,2,9,goal
108,2,9,goal
109,2,9,goal
110,-4,15,goal
111,0,11,goal
112,2,9,goal
113,0,11,goal
114,2,9,goal
115,2,9,goal
116,0,11,goal
117,-2,13,goal
118,2,9,goal
119,2,9,goal
120,-3,14,goal
121,-2,13,goal
122,-6,17,goal
123,2,9,goal
124,-2,13,goal
125,2,9,goal
126,-5,16,goal
127,2,9,goal
128,0,11,goal
129,2,9,goal
130,2,9,goal
131,2,9,goal
132,2,9,goal
133,1,10,goal
134,2,9,goal
135,2,9,goal
136,2,9,goal
137,2,9,goal
138,-2,13,goal
139,0,11,goal
140,-3,14,goal
141,2,9,goal
142,2,9,goal
143,-2,13,goal
144,-4,15,goal
145,2,9,goal
146,0,11,goal
147,0,11,goal
148,2,9,goal
149,-2,13,goal
150,2,9,goal
