episode,total_reward,steps
0,-35,35
1,-35,35
2,-35,35
3,-35,35
4,-35,35
5,-35,35
6,-35,35
7,-35,35
8,-35,35
9,-35,35
10,-35,35
11,-35,35
12,-35,35
13,-35,35
14,-35,35
15,-35,35
16,-35,35
17,-35,35
18,-35,35
19,-35,35
20,-35,35
21,-35,35
22,-35,35
23,-35,35
24,-35,35
25,-35,35
26,-35,35
27,-35,35
28,-35,35
29,-35,35
30,-35,35
31,-35,35
32,-35,35
33,-35,35
34,-35,35
35,-35,35
36,-35,35
37,-35,35
38,-35,35
39,-35,35
40,-35,35
41,-35,35
42,-35,35
43,-35,35
44,-35,35
45,-35,35
46,-35,35
47,-35,35
48,-35,35
49,-35,35
50,-35,35
51,-35,35
52,-35,35
53,-35,35
54,-35,35
55,-35,35
56,-35,35
57,-35,35
58,-35,35
59,-35,35
60,-35,35
61,-35,35
62,-35,35
63,-35,35
64,-35,35
65,-35,35
66,-35,35
67,-35,35
68,-35,35
69,-35,35
70,-35,35
71,-35,35
72,-35,35
73,-35,35
74,-35,35
75,-35,35
76,-35,35
77,-35,35
78,-35,35
79,-35,35
80,-35,35
81,-35,35
82,-35,35
83,-35,35
84,-35,35
85,-35,35
86,-35,35
87,-35,35
88,-35,35
89,-35,35
90,-35,35
91,-35,35
92,-35,35
93,-35,35
94,-35,35
95,-35,35
96,-35,35
97,-35,35
98,-35,35
99,-35,35
