episode,total_reward,steps,termination
0,-35.0,35,max_steps
1,-35.0,35,max_steps
2,-35.0,35,max_steps
3,-35.0,35,max_steps
4,-35.0,35,max_steps
5,-35.0,35,max_steps
6,-22.0,33,max_steps
7,-35.0,35,max_steps
8,-35.0,35,max_steps
9,-7.0,18,max_steps
10,-35.0,35,max_steps
11,-35.0,35,max_steps
12,-35.0,35,max_steps
13,-1.0,12,max_steps
14,-35.0,35,max_steps
15,-35.0,35,max_steps
16,-35.0,35,max_steps
17,-35.0,35,max_steps
18,-35.0,35,max_steps
19,-35.0,35,max_steps
20,-35.0,35,max_steps
21,-10.0,21,max_steps
22,-35.0,35,max_steps
23,-35.0,35,max_steps
24,-35.0,35,max_steps
25,-16.0,27,max_steps
26,-35.0,35,max_steps
27,-35.0,35,max_steps
28,2.0,9,max_steps
29,-17.0,28,max_steps
30,-35.0,35,max_steps
31,-35.0,35,max_steps
32,-35.0,35,max_steps
33,-35.0,35,max_steps
34,-16.0,27,max_steps
35,-35.0,35,max_steps
36,-35.0,35,max_steps
37,-35.0,35,max_steps
38,-35.0,35,max_steps
39,-35.0,35,max_steps
40,-35.0,35,max_steps
41,-35.0,35,max_steps
42,-35.0,35,max_steps
43,-35.0,35,max_steps
44,-35.0,35,max_steps
45,-35.0,35,max_steps
46,-35.0,35,max_steps
47,-16.0,27,max_steps
48,-35.0,35,max_steps
49,-10.0,21,max_steps
50,-35.0,35,max_steps
51,-35.0,35,max_steps
52,-17.0,28,max_steps
53,-35.0,35,max_steps
54,-35.0,35,max_steps
55,-21.0,32,max_steps
56,-35.0,35,max_steps
57,-35.0,35,max_steps
58,-35.0,35,max_steps
59,-21.0,32,max_steps
60,-35.0,35,max_steps
61,-35.0,35,max_steps
62,-35.0,35,max_steps
63,-35.0,35,max_steps
64,-35.0,35,max_steps
65,-35.0,35,max_steps
66,-35.0,35,max_steps
67,-35.0,35,max_steps
68,-35.0,35,max_steps
69,-35.0,35,max_steps
70,-8.0,19,max_steps
71,-35.0,35,max_steps
72,-35.0,35,max_steps
73,-35.0,35,max_steps
74,-35.0,35,max_steps
75,-21.0,32,max_steps
76,-35.0,35,max_steps
77,-35.0,35,max_steps
78,-35.0,35,max_steps
79,0.0,11,max_steps
80,-9.0,20,max_steps
81,-17.0,28,max_steps
82,-35.0,35,max_steps
83,-35.0,35,max_steps
84,-35.0,35,max_steps
85,-35.0,35,max_steps
86,-35.0,35,max_steps
87,-35.0,35,max_steps
88,-18.0,29,max_steps
89,-35.0,35,max_steps
90,-17.0,28,max_steps
91,-35.0,35,max_steps
92,-35.0,35,max_steps
93,-35.0,35,max_steps
94,-10.0,21,max_steps
95,-35.0,35,max_steps
96,-35.0,35,max_steps
97,-35.0,35,max_steps
98,-35.0,35,max_steps
99,-6.0,17,max_steps
1,2.0,9,max_steps
2,2.0,9,max_steps
3,2.0,9,max_steps
4,2.0,9,max_steps
5,2.0,9,max_steps
6,2.0,9,max_steps
7,2.0,9,max_steps
8,2.0,9,max_steps
9,2.0,9,max_steps
10,2.0,9,max_steps
