episode,total_reward,steps,termination
1,2,9,goal
2,2,9,goal
3,2,9,goal
4,2,9,goal
5,2,9,goal
6,2,9,goal
7,2,9,goal
8,2,9,goal
9,2,9,goal
10,2,9,goal
11,2,9,goal
12,2,9,goal
13,2,9,goal
14,2,9,goal
15,2,9,goal
16,2,9,goal
17,2,9,goal
18,2,9,goal
19,2,9,goal
20,2,9,goal
21,2,9,goal
22,2,9,goal
23,2,9,goal
24,2,9,goal
25,2,9,goal
26,2,9,goal
27,2,9,goal
28,2,9,goal
29,2,9,goal
30,2,9,goal
31,2,9,goal
32,2,9,goal
33,2,9,goal
34,2,9,goal
35,2,9,goal
36,2,9,goal
37,2,9,goal
38,2,9,goal
39,2,9,goal
40,2,9,goal
41,2,9,goal
42,2,9,goal
43,2,9,goal
44,2,9,goal
45,2,9,goal
46,2,9,goal
47,2,9,goal
48,2,9,goal
49,2,9,goal
50,2,9,goal
51,2,9,goal
52,2,9,goal
53,2,9,goal
54,2,9,goal
55,2,9,goal
56,2,9,goal
57,2,9,goal
58,2,9,goal
59,2,9,goal
60,2,9,goal
61,2,9,goal
62,2,9,goal
63,2,9,goal
64,2,9,goal
65,2,9,goal
66,2,9,goal
67,2,9,goal
68,2,9,goal
69,2,9,goal
70,2,9,goal
71,2,9,goal
72,2,9,goal
73,2,9,goal
74,2,9,goal
75,2,9,goal
76,2,9,goal
77,2,9,goal
78,2,9,goal
79,2,9,goal
80,2,9,goal
81,2,9,goal
82,2,9,goal
83,2,9,goal
84,2,9,goal
85,2,9,goal
86,2,9,goal
87,2,9,goal
88,2,9,goal
89,2,9,goal
90,2,9,goal
91,2,9,goal
92,2,9,goal
93,2,9,goal
94,2,9,goal
95,2,9,goal
96,2,9,goal
97,2,9,goal
98,2,9,goal
99,2,9,goal
100,2,9,goal
