episode,total_reward,steps,termination
1,-70,35,max_steps
2,-70,35,max_steps
3,-56,34,goal
4,-70,35,max_steps
5,-70,35,max_steps
6,-34,23,goal
7,-24,18,goal
8,-30,21,goal
9,-10,11,goal
10,-38,25,goal
11,-52,32,goal
12,-36,24,goal
13,-18,15,goal
14,-18,15,goal
15,-16,14,goal
16,-40,26,goal
17,-22,17,goal
18,-42,27,goal
19,-6,9,goal
20,-6,9,goal
21,-24,18,goal
22,-10,11,goal
23,-38,25,goal
24,-14,13,goal
25,-14,13,goal
26,-10,11,goal
27,-10,11,goal
28,-10,11,goal
29,-10,11,goal
30,-14,13,goal
31,-14,13,goal
32,-6,9,goal
33,-16,14,goal
34,-16,14,goal
35,-10,11,goal
36,-10,11,goal
37,-6,9,goal
38,-6,9,goal
39,-6,9,goal
40,-6,9,goal
41,-6,9,goal
42,-12,12,goal
43,-10,11,goal
44,-8,10,goal
45,-6,9,goal
46,-6,9,goal
47,-6,9,goal
48,-10,11,goal
49,-6,9,goal
50,-6,9,goal
51,-6,9,goal
52,-6,9,goal
53,-6,9,goal
54,-6,9,goal
55,-6,9,goal
56,-6,9,goal
57,-6,9,goal
58,-6,9,goal
59,-6,9,goal
60,-6,9,goal
61,-6,9,goal
62,-6,9,goal
63,-6,9,goal
64,-6,9,goal
65,-6,9,goal
66,-6,9,goal
67,-6,9,goal
68,-8,10,goal
69,-6,9,goal
70,-6,9,goal
71,-6,9,goal
72,-6,9,goal
73,-6,9,goal
74,-6,9,goal
75,-6,9,goal
76,-6,9,goal
77,-6,9,goal
78,-6,9,goal
79,-6,9,goal
80,-6,9,goal
81,-6,9,goal
82,-6,9,goal
83,-6,9,goal
84,-6,9,goal
85,-6,9,goal
86,-6,9,goal
87,-6,9,goal
88,-6,9,goal
89,-6,9,goal
90,-6,9,goal
91,-6,9,goal
92,-6,9,goal
93,-6,9,goal
94,-6,9,goal
95,-6,9,goal
96,-6,9,goal
97,-6,9,goal
98,-6,9,goal
99,-6,9,goal
100,-6,9,goal
101,-6,9,goal
102,-6,9,goal
103,-6,9,goal
104,-6,9,goal
105,-6,9,goal
106,-6,9,goal
107,-6,9,goal
108,-6,9,goal
109,-6,9,goal
110,-6,9,goal
111,-6,9,goal
112,-6,9,goal
113,-6,9,goal
114,-6,9,goal
115,-6,9,goal
116,-6,9,goal
117,-6,9,goal
118,-6,9,goal
119,-6,9,goal
120,-6,9,goal
