episode,total_reward,steps,termination
1,-18,39,goal
2,-45,45,max_steps
3,-12,33,goal
4,-8,29,goal
5,-45,45,max_steps
6,8,13,goal
7,-3,24,goal
8,-20,41,goal
9,-45,45,max_steps
10,10,11,goal
11,8,13,goal
12,5,16,goal
13,7,14,goal
14,9,12,goal
15,6,15,goal
16,11,10,goal
17,10,11,goal
18,1,20,goal
19,11,10,goal
20,12,9,goal
21,10,11,goal
22,9,12,goal
23,10,11,goal
24,-8,29,goal
25,11,10,goal
26,9,12,goal
27,5,16,goal
28,11,10,goal
29,11,10,goal
30,12,9,goal
31,9,12,goal
32,8,13,goal
33,12,9,goal
34,7,14,goal
35,7,14,goal
36,12,9,goal
37,8,13,goal
38,12,9,goal
39,12,9,goal
40,12,9,goal
41,12,9,goal
42,12,9,goal
43,9,12,goal
44,10,11,goal
45,11,10,goal
46,12,9,goal
47,12,9,goal
48,12,9,goal
49,10,11,goal
50,12,9,goal
51,12,9,goal
52,12,9,goal
53,12,9,goal
54,12,9,goal
55,12,9,goal
56,12,9,goal
57,12,9,goal
58,12,9,goal
59,12,9,goal
60,12,9,goal
61,12,9,goal
62,12,9,goal
63,12,9,goal
64,12,9,goal
65,12,9,goal
66,12,9,goal
67,12,9,goal
68,12,9,goal
69,11,10,goal
70,11,10,goal
71,12,9,goal
72,12,9,goal
73,12,9,goal
74,12,9,goal
75,12,9,goal
76,12,9,goal
77,12,9,goal
78,12,9,goal
79,12,9,goal
80,12,9,goal
81,12,9,goal
82,12,9,goal
83,12,9,goal
84,12,9,goal
85,12,9,goal
86,12,9,goal
87,12,9,goal
88,12,9,goal
89,12,9,goal
90,12,9,goal
91,12,9,goal
92,12,9,goal
93,12,9,goal
94,12,9,goal
95,12,9,goal
96,12,9,goal
97,12,9,goal
98,12,9,goal
99,12,9,goal
100,12,9,goal
101,12,9,goal
102,12,9,goal
103,12,9,goal
104,12,9,goal
105,12,9,goal
106,12,9,goal
107,12,9,goal
108,12,9,goal
109,12,9,goal
110,12,9,goal
111,12,9,goal
112,12,9,goal
113,12,9,goal
114,12,9,goal
115,12,9,goal
116,12,9,goal
117,12,9,goal
118,12,9,goal
119,12,9,goal
120,12,9,goal
121,12,9,goal
122,12,9,goal
123,12,9,goal
124,12,9,goal
125,12,9,goal
126,12,9,goal
127,12,9,goal
128,12,9,goal
129,12,9,goal
130,12,9,goal
131,12,9,goal
132,12,9,goal
133,12,9,goal
134,12,9,goal
135,12,9,goal
136,12,9,goal
137,12,9,goal
138,12,9,goal
139,12,9,goal
140,12,9,goal
141,12,9,goal
142,12,9,goal
143,12,9,goal
144,12,9,goal
145,12,9,goal
146,12,9,goal
147,12,9,goal
148,12,9,goal
149,12,9,goal
150,12,9,goal
