episode,total_reward,steps,termination
0,-35,35,max_steps
1,-3,14,max_steps
2,-1,12,max_steps
3,2,9,max_steps
4,0,11,max_steps
5,-4,15,max_steps
6,1,10,max_steps
7,0,11,max_steps
8,-2,13,max_steps
9,-2,13,max_steps
10,0,11,max_steps
11,-2,13,max_steps
12,0,11,max_steps
13,2,9,max_steps
14,2,9,max_steps
15,2,9,max_steps
16,2,9,max_steps
17,-2,13,max_steps
18,2,9,max_steps
19,-2,13,max_steps
20,2,9,max_steps
21,-2,13,max_steps
22,2,9,max_steps
23,2,9,max_steps
24,2,9,max_steps
25,-4,15,max_steps
26,-2,13,max_steps
27,2,9,max_steps
28,-2,13,max_steps
29,0,11,max_steps
30,0,11,max_steps
31,2,9,max_steps
32,-2,13,max_steps
33,-4,15,max_steps
34,-2,13,max_steps
35,2,9,max_steps
36,0,11,max_steps
37,2,9,max_steps
38,2,9,max_steps
39,0,11,max_steps
40,-2,13,max_steps
41,0,11,max_steps
42,2,9,max_steps
43,0,11,max_steps
44,0,11,max_steps
45,0,11,max_steps
46,0,11,max_steps
47,-4,15,max_steps
48,2,9,max_steps
49,2,9,max_steps
50,-2,13,max_steps
51,2,9,max_steps
52,0,11,max_steps
53,-2,13,max_steps
54,2,9,max_steps
55,2,9,max_steps
56,0,11,max_steps
57,-2,13,max_steps
58,-2,13,max_steps
59,1,10,max_steps
60,2,9,max_steps
61,2,9,max_steps
62,2,9,max_steps
63,2,9,max_steps
64,-2,13,max_steps
65,-2,13,max_steps
66,-2,13,max_steps
67,2,9,max_steps
68,0,11,max_steps
69,2,9,max_steps
70,2,9,max_steps
71,2,9,max_steps
72,2,9,max_steps
73,1,10,max_steps
74,2,9,max_steps
75,0,11,max_steps
76,0,11,max_steps
77,-2,13,max_steps
78,0,11,max_steps
79,0,11,max_steps
80,2,9,max_steps
81,-2,13,max_steps
82,2,9,max_steps
83,-1,12,max_steps
84,2,9,max_steps
85,0,11,max_steps
86,0,11,max_steps
87,2,9,max_steps
88,2,9,max_steps
89,0,11,max_steps
90,0,11,max_steps
91,0,11,max_steps
92,2,9,max_steps
93,2,9,max_steps
94,2,9,max_steps
95,-5,16,max_steps
96,2,9,max_steps
97,2,9,max_steps
98,2,9,max_steps
99,0,11,max_steps
