episode,total_reward,steps,termination
0,-70,70,0
1,-70,70,0
2,-70,70,0
3,-18,34,1
4,-70,70,0
5,-44,60,1
6,-70,70,0
7,-70,70,0
8,-36,52,1
9,-14,30,1
10,-14,30,1
11,-30,46,1
12,-14,30,1
13,-24,40,1
14,-10,26,1
15,-30,46,1
16,-10,26,1
17,-8,24,1
18,-42,58,1
19,-12,28,1
20,-38,54,1
21,-50,66,1
22,-36,52,1
23,-70,70,0
24,-70,70,0
25,-70,70,0
26,-30,46,1
27,-34,50,1
28,-70,70,0
29,-16,32,1
30,-70,70,0
31,-70,70,0
32,-20,36,1
33,-46,62,1
34,-32,48,1
35,-8,24,1
36,-16,32,1
37,-48,64,1
38,-20,36,1
39,-38,54,1
40,-18,34,1
41,-4,20,1
42,-4,20,1
43,-10,26,1
44,-34,50,1
45,-12,28,1
46,-22,38,1
47,-70,70,0
48,-18,34,1
49,-70,70,0
50,-30,46,1
51,-10,26,1
52,-70,70,0
53,-28,44,1
54,-10,26,1
55,-34,50,1
56,-18,34,1
57,0,16,1
58,-24,40,1
59,-44,60,1
60,-34,50,1
61,-18,34,1
62,-10,26,1
63,-10,26,1
64,0,16,1
65,-70,70,0
66,-12,28,1
67,-2,18,1
68,-8,24,1
69,-4,20,1
70,-36,52,1
71,-8,24,1
72,-4,20,1
73,-40,56,1
74,-42,58,1
75,-70,70,0
76,-42,58,1
77,-32,48,1
78,-18,34,1
79,-6,22,1
80,0,16,1
81,-6,22,1
82,-2,18,1
83,2,14,1
84,-20,36,1
85,-4,20,1
86,-4,20,1
87,-4,20,1
88,-8,24,1
89,-6,22,1
90,-8,24,1
91,-16,32,1
92,-8,24,1
93,0,16,1
94,-8,24,1
95,-34,50,1
96,-70,70,0
97,-32,48,1
98,-6,22,1
99,-8,24,1
100,-16,32,1
101,-2,18,1
102,-42,58,1
103,-12,28,1
104,-4,20,1
105,-18,34,1
106,-24,40,1
107,-10,26,1
108,-6,22,1
109,-8,24,1
110,-16,32,1
111,-2,18,1
112,-38,54,1
113,-18,34,1
114,-4,20,1
115,-4,20,1
116,-70,70,0
117,-10,26,1
118,-22,38,1
119,-8,24,1
120,-14,30,1
121,0,16,1
122,-18,34,1
123,-6,22,1
124,-30,46,1
125,-70,70,0
126,-16,32,1
127,-30,46,1
128,-18,34,1
129,-48,64,1
130,-20,36,1
131,-2,18,1
132,-28,44,1
133,-12,28,1
134,-6,22,1
135,-10,26,1
136,-12,28,1
137,0,16,1
138,2,14,1
139,-4,20,1
140,-6,22,1
141,2,14,1
142,-10,26,1
143,-4,20,1
144,-4,20,1
145,-14,30,1
146,-10,26,1
147,-12,28,1
148,-26,42,1
149,-18,34,1
150,-8,24,1
151,-70,70,0
152,-18,34,1
153,-2,18,1
154,-10,26,1
155,-20,36,1
156,-10,26,1
157,-4,20,1
158,-2,18,1
159,-70,70,0
160,-70,70,0
161,-14,30,1
162,-8,24,1
163,-26,42,1
164,-28,44,1
165,-18,34,1
166,-34,50,1
167,-34,50,1
168,2,14,1
169,2,14,1
170,-18,34,1
171,-6,22,1
172,-6,22,1
173,0,16,1
174,-2,18,1
175,-10,26,1
176,-2,18,1
177,0,16,1
178,-18,34,1
179,-26,42,1
180,-70,70,0
181,-24,40,1
182,-70,70,0
183,-6,22,1
184,-70,70,0
185,-36,52,1
186,-48,64,1
187,2,14,1
188,-10,26,1
189,-2,18,1
190,-42,58,1
191,-14,30,1
192,-20,36,1
193,-12,28,1
194,-6,22,1
195,-8,24,1
196,2,14,1
197,-8,24,1
198,2,14,1
199,-4,20,1
200,-2,18,1
201,2,14,1
202,-2,18,1
203,-12,28,1
204,-10,26,1
205,-2,18,1
206,-16,32,1
207,-32,48,1
208,-20,36,1
209,-22,38,1
210,-70,70,0
211,-44,60,1
212,-18,34,1
213,-10,26,1
214,0,16,1
215,-18,34,1
216,-12,28,1
217,-2,18,1
218,-6,22,1
219,-42,58,1
220,-10,26,1
221,-22,38,1
222,-70,70,0
223,-24,40,1
224,-8,24,1
225,-16,32,1
226,-4,20,1
227,-14,30,1
228,0,16,1
229,-2,18,1
230,-14,30,1
231,-2,18,1
232,-4,20,1
233,-26,42,1
234,-2,18,1
235,-2,18,1
236,2,14,1
237,-70,70,0
238,0,16,1
239,-70,70,0
240,0,16,1
241,-70,70,0
242,-52,68,1
243,-70,70,0
244,-18,34,1
245,0,16,1
246,-20,36,1
247,-52,68,1
248,0,16,1
249,0,16,1
250,-12,28,1
251,-10,26,1
252,-6,22,1
253,0,16,1
254,2,14,1
255,0,16,1
256,-2,18,1
257,-6,22,1
258,2,14,1
259,-6,22,1
260,0,16,1
261,0,16,1
262,2,14,1
263,-14,30,1
264,-2,18,1
265,-4,20,1
266,-70,70,0
267,-36,52,1
268,-26,42,1
269,-16,32,1
270,-24,40,1
271,-26,42,1
272,-24,40,1
273,-2,18,1
274,0,16,1
275,-8,24,1
276,-70,70,0
277,-32,48,1
278,-2,18,1
279,-50,66,1
280,-70,70,0
281,-2,18,1
282,-70,70,0
283,-26,42,1
284,-38,54,1
285,-10,26,1
286,2,14,1
287,0,16,1
288,2,14,1
289,2,14,1
290,-8,24,1
291,2,14,1
292,2,14,1
293,-8,24,1
294,0,16,1
295,-6,22,1
296,-2,18,1
297,-70,70,0
298,-70,70,0
299,-28,44,1
300,-36,52,1
301,-20,36,1
302,-8,24,1
303,-14,30,1
304,-6,22,1
305,-6,22,1
306,-8,24,1
307,-6,22,1
308,-46,62,1
309,-8,24,1
310,-2,18,1
311,-6,22,1
312,2,14,1
313,-14,30,1
314,-24,40,1
315,-16,32,1
316,-24,40,1
317,-8,24,1
318,-4,20,1
319,-6,22,1
320,-2,18,1
321,-6,22,1
322,-28,44,1
323,-10,26,1
324,-70,70,0
325,-2,18,1
326,0,16,1
327,-70,70,0
328,-2,18,1
329,-16,32,1
330,-4,20,1
331,-70,70,0
332,-8,24,1
333,-70,70,0
334,-2,18,1
335,0,16,1
336,-8,24,1
337,0,16,1
338,0,16,1
339,-8,24,1
340,0,16,1
341,-30,46,1
342,-22,38,1
343,-18,34,1
344,-2,18,1
345,-6,22,1
346,-10,26,1
347,-4,20,1
348,-6,22,1
349,-70,70,0
350,-2,18,1
351,-10,26,1
352,-8,24,1
353,-40,56,1
354,-6,22,1
355,-4,20,1
356,0,16,1
357,-12,28,1
358,-12,28,1
359,-38,54,1
360,0,16,1
361,-4,20,1
362,-46,62,1
363,-70,70,0
364,-16,32,1
365,-4,20,1
366,0,16,1
367,-70,70,0
368,-6,22,1
369,-44,60,1
370,-70,70,0
371,0,16,1
372,0,16,1
373,-4,20,1
374,-18,34,1
375,-12,28,1
376,2,14,1
377,-2,18,1
378,-2,18,1
379,-4,20,1
380,-6,22,1
381,-4,20,1
382,2,14,1
383,-12,28,1
384,0,16,1
385,-4,20,1
386,0,16,1
387,0,16,1
388,2,14,1
389,-42,58,1
390,-70,70,0
391,-6,22,1
392,-22,38,1
393,-70,70,0
394,-36,52,1
395,-22,38,1
396,-38,54,1
397,-16,32,1
398,2,14,1
399,-36,52,1
400,-10,26,1
401,0,16,1
402,2,14,1
403,-14,30,1
404,2,14,1
405,0,16,1
406,-14,30,1
407,-8,24,1
408,-12,28,1
409,-2,18,1
410,-40,56,1
411,-2,18,1
412,0,16,1
413,-4,20,1
